Previous name,Current name,Index,Changed?,Comment
Ahmed Sawas,Ahmed Sawas,131,,Doctor
AiCure,AiCure,132,,
AiCuris Anti-infective Cures GmbH,AiCuris Anti-infective Cures GmbH,133,,
Aileron Therapeutics,Aileron Therapeutics,134,,
"Aimmune Therapeutics, Inc.","Aimmune Therapeutics, Inc.",135,,
Ain Shams Maternity Hospital,Ain Shams Maternity Hospital,136,,
Ain Shams University,Ain Shams University,137,,University
Air Force Research Laboratory,Air Force Research Laboratory,138,,
"Aivita Biomedical, Inc.","Aivita Biomedical, Inc.",139,,
Aiviva BioPharma Inc.,Aiviva BioPharma Inc.,140,,
"Aiwu Ruth He, MD","Aiwu Ruth He, MD",141,,Doctor
Ajai Chari,Ajai Chari,142,,
Ajay Niranjan,Ajay Niranjan,143,,Doctor
"Ajay Wasan, MD, Msc","Ajay Wasan, MD, Msc",144,,Doctor
"Ajjai Alva, MD","Ajjai Alva, MD",145,,Doctor
Ajou University,Ajou University,146,,University
Akcea Therapeutics,Akcea Therapeutics,147,,
Akebia Therapeutics,Akebia Therapeutics,148,,
"Akorn, Inc.","Akorn, Inc.",149,,
Akrimax Pharmaceuticals,Akrimax Pharmaceuticals,150,,
Akron Children's Hospital,Akron Children's Hospital,151,,
Akros Pharma Inc.,Akros Pharma Inc.,152,,
"Al B. Benson, III, MD","Al B. Benson, III, MD",153,,Doctor
Al-Kindy College of Medicine,Al-Kindy College of Medicine,154,,
Al-debeiky pharma,Al-debeiky pharma,155,,
Ala'a Sharara,Ala'a Sharara,156,,
Alameda Health System,Alameda Health System,157,,
"Alan Ladd, M.D.","Alan Ladd, M.D.",158,,Doctor
Alaska Blind Child Discovery,Alaska Blind Child Discovery,159,,
Albany Medical College,Albany Medical College,160,,
"Albert Einstein College of Medicine, Inc.","Albert Einstein College of Medicine, Inc.",161,,
Albert Einstein Healthcare Network,Albert Einstein Healthcare Network,162,,
Albert Park,Albert Park,163,,
Alberta Children's Hospital,Alberta Children's Hospital,164,,
Alberta Health Services,Alberta Health Services,165,,
Albireo,Albireo,166,,
"Alchem Laboratories, Inc","Alchem Laboratories, Inc",167,,
Alcon Research,Novartis,2597,Changed,
"Alcon, a Novartis Company",Novartis,2597,Changed,
"Alcyone Lifesciences, Inc.","Alcyone Lifesciences, Inc.",168,,
"Aldeyra Therapeutics, Inc.","Aldeyra Therapeutics, Inc.",169,,
Alector Inc.,Alector Inc.,170,,
Aleksandra Stark,Aleksandra Stark,171,,
Aleor Dermaceuticals Limited,Aleor Dermaceuticals Limited,172,,
Alere Wellbeing,Alere Wellbeing,173,,
Alex's Lemonade Stand Foundation,Alex's Lemonade Stand Foundation,174,,
Alexander Kolevzon,Alexander Kolevzon,175,,
Alexion Pharma GmbH,Alexion Pharma GmbH,176,,
Alexion Pharmaceuticals,Alexion Pharmaceuticals,177,,
"Alexza Pharmaceuticals, Inc.","Alexza Pharmaceuticals, Inc.",178,,
Alfasigma S.p.A.,Alfasigma S.p.A.,179,,
Algenis SpA,Algenis SpA,180,,
Algorithme Pharma Inc,Algorithme Pharma Inc,181,,
Alios Biopharma Inc.,Alios Biopharma Inc.,182,,
"Alkahest, Inc.","Alkahest, Inc.",183,,
"AlkaliDx, Inc.","AlkaliDx, Inc.",184,,
"Alkermes, Inc.","Alkermes, Inc.",185,,
"All India Institute of Medical Sciences, New Delhi","All India Institute of Medical Sciences, New Delhi",186,,
"Allakos, Inc.","Allakos, Inc.",187,,
Allan Dietz,Allan Dietz,188,,
Allegheny Singer Research Institute,Allegheny Singer Research Institute,189,,
"Allegro Ophthalmics, LLC","Allegro Ophthalmics, LLC",190,,
Allena Pharmaceuticals,Allena Pharmaceuticals,191,,
Allergan,Allergan,192,,
"Allergan Sales, LLC",Allergan,192,Changed,
Allgenesis Biotherapeutics Inc.,Allgenesis Biotherapeutics Inc.,193,,
Alliance Foundation Trials (AFT),"Alliance Foundation Trials, LLC.",196,Changed,
Alliance Foundation Trials Biorepository - Washington State University,Alliance Foundation Trials Biorepository - Washington State University,194,,University
Alliance Foundation Trials Central Imaging Core Lab - Ohio State University,Alliance Foundation Trials Central Imaging Core Lab - Ohio State University,195,,University
"Alliance Foundation Trials, LLC.","Alliance Foundation Trials, LLC.",196,,
Alliance Pharma,Alliance Pharma,197,,
Alliance for Clinical Trials in Oncology,Alliance for Clinical Trials in Oncology,198,,
Allison Quick,Allison Quick,199,,
"Allistair Abraham, MD","Allistair Abraham, MD",200,,Doctor
"Allodynic Therapeutics, LLC","Allodynic Therapeutics, LLC",201,,
Allysta Pharmaceutical,Allysta Pharmaceutical,202,,
"Almirall, S.A.","Almirall, S.A.",203,,
Alnylam Pharmaceuticals,Alnylam Pharmaceuticals,204,,
"Alopexx Oncology, LLC","Alopexx Pharmaceuticals, LLC",205,Changed,
"Alopexx Pharmaceuticals, LLC","Alopexx Pharmaceuticals, LLC",205,,
"Alopexx Vaccine, LLC","Alopexx Pharmaceuticals, LLC",205,Changed,
Alta Bates Summit Medical Center,Alta Bates Summit Medical Center,206,,
"Altimmune, Inc.","Altimmune, Inc.",207,,
Altor BioScience,Altor BioScience,208,,
"Alucent Medical, Inc.","Alucent Medical, Inc.",209,,
Alzheimer's Association,Alzheimer's Association,210,,
Alzheimer's Disease Cooperative Study (ADCS),Alzheimer's Disease Cooperative Study (ADCS),211,,
Alzheimer's Therapeutic Research Institute,Alzheimer's Therapeutic Research Institute,212,,
Alzheimer’s Drug Discovery Foundation,Alzheimer’s Drug Discovery Foundation,213,,
AmDerma,AmDerma,214,,
Amarex Clinical Research,Amarex Clinical Research,215,,
Amarin Pharma Inc.,Amarin Pharma Inc.,216,,
"Ambrx, Inc.","Ambrx, Inc.",217,,
Amercian Australian Asian Adrenal Alliance (A5),Amercian Australian Asian Adrenal Alliance (A5),218,,
American Academy of Clinical Toxicology,American Academy of Clinical Toxicology,219,,
American Academy of Family Physicians,American Academy of Family Physicians,220,,
American Academy of Neurology,American Academy of Neurology,221,,
American Academy of Physical Medicine and Rehabilitation,American Academy of Physical Medicine and Rehabilitation,222,,
American Association for Cancer Research,American Association for Cancer Research,223,,
American Association for the Study of Liver Diseases,American Association for the Study of Liver Diseases,224,,
American Association of Hip and Knee Society,American Association of Hip and Knee Society,225,,
"American Cancer Society, Inc.","American Cancer Society, Inc.",226,,
American College of Clinical Pharmacy,American College of Clinical Pharmacy,227,,
American College of Gastroenterology,American College of Gastroenterology,228,,
American College of Obstetricians and Gynecologists,American College of Obstetricians and Gynecologists,229,,
American College of Prosthodontists Education Foundation,American College of Prosthodontists Education Foundation,230,,
American College of Surgeons,American College of Surgeons,231,,
American Diabetes Association,American Diabetes Association,232,,
American Foundation for Suicide Prevention,American Foundation for Suicide Prevention,233,,
American Heart Association,American Heart Association,234,,
American Laryngological Association,American Laryngological Association,235,,
American Lebanese Syrian Associated Charities,American Lebanese Syrian Associated Charities,236,,
American Leprosy Missions,American Leprosy Missions,237,,
American Lung Association,American Lung Association,238,,
American Medical Society for Sports Medicine (AMSSM) Foundation,American Medical Society for Sports Medicine (AMSSM) Foundation,239,,
American SIDS Institute,American SIDS Institute,240,,
American Society for Blood and Marrow Transplantation (ASBMT),American Society for Blood and Marrow Transplantation (ASBMT),241,,
American Society of Clinical Oncology,American Society of Clinical Oncology,242,,
American Society of Hematology,American Society of Hematology,243,,
American Society of Nephrology,American Society of Nephrology,244,,
American Society of Regional Anesthesia,American Society of Regional Anesthesia,245,,
"American Stem Cell, Inc.","American Stem Cell, Inc.",246,,
American University of Beirut Medical Center,American University of Beirut Medical Center,247,,University
American Urogynecologic Society,American Urogynecologic Society,248,,
American-European Congress of Ophthalmic Surgery,American-European Congress of Ophthalmic Surgery,249,,
Amgen,Amgen,250,,
Amicus Therapeutics,Amicus Therapeutics,251,,
"Aminex Therapeutics, Inc.","Aminex Therapeutics, Inc.",252,,
Amir Mortazavi,Amir Mortazavi,253,,
"Amit Anand, MD","Amit Anand, MD",254,,Doctor
"Amma Owusu-Ansah, MD","Amma Owusu-Ansah, MD",255,,Doctor
Amneal Ireland Limited,Amneal Ireland Limited,256,,
"Ampel BioSolutions, LLC","Ampel BioSolutions, LLC",257,,
"Amphivena Therapeutics, Inc.","Amphivena Therapeutics, Inc.",258,,
Ampio Pharmaceuticals. Inc.,Ampio Pharmaceuticals. Inc.,259,,
Amplyx Pharmaceuticals,Amplyx Pharmaceuticals,260,,
Amsterdam Institute for Global Health and Development,Amsterdam Institute for Global Health and Development,261,,
Amy Arnold,Amy Arnold,262,,Doctor
"Amy C Schefler, MD","Amy C Schefler, MD",263,,Doctor
Amy Gelfand,Amy Gelfand,264,,Doctor
Amy Tiersten,Amy Tiersten,265,,Doctor
"Amygdala Neurosciences, Inc.","Amygdala Neurosciences, Inc.",266,,
"Amylin Pharmaceuticals, LLC.","Amylin Pharmaceuticals, LLC.",267,,
Amylyx Pharmaceuticals Inc.,Amplyx Pharmaceuticals,260,Changed,
Amyndas Pharmaceuticals S.A.,Amyndas Pharmaceuticals S.A.,268,,
"AnGes USA, Inc.","AnGes, Inc.",269,Changed,
"AnGes, Inc.","AnGes, Inc.",269,,
Analytical Laboratory (Pharmacokinetic Sample Analysis): USA,Analytical Laboratory (Pharmacokinetic Sample Analysis): USA,270,,
"AnaptysBio, Inc.","AnaptysBio, Inc.",271,,
Andersen Foundation,Andersen Foundation,272,,
Andrea Jewell,Andrea Jewell,273,,
Andrei Iagaru,Andrei Iagaru,274,,
Andrew A Herring,Andrew A Herring,275,,Doctor
Andrew Brenner,Andrew Brenner,276,,Doctor
Andrew Eisenberger,Andrew Eisenberger,277,,Doctor
Andrew H Miller,Andrew H Miller,278,,Doctor
"Andrew Hendifar, MD","Andrew Hendifar, MD",279,,Doctor
"Andrew J. Armstrong, MD","Andrew J. Armstrong, MD",280,,Doctor
Andrew Moshfeghi,Andrew Moshfeghi,281,,Doctor
Andrew Rezvani,Andrew Rezvani,282,,Doctor
Andrew Sharabi,Andrew Sharabi,283,,Doctor
Andrews Research & Education Foundation,Andrews Research & Education Foundation,284,,
"Anexon, Incorporated","Anexon, Incorporated",285,,
Angela Bianco,Angela Bianco,286,,Doctor
Angela N Fellner PhD CCRP,Angela N Fellner PhD CCRP,287,,Doctor
Angela Taber MD,Angela Taber MD,288,,Doctor
Angiochem Inc,Angiochem Inc,289,,
Angiocrine Bioscience,Angiocrine Bioscience,290,,
Angionetics Inc.,Angionetics Inc.,291,,
Angus W. Thomson PhD DSc,Angus W. Thomson PhD DSc,292,,
"Anika Therapeutics, Inc.","Anika Therapeutics, Inc.",293,,
Ann & Robert H Lurie Children's Hospital of Chicago,Ann & Robert H Lurie Children's Hospital of Chicago,294,,
Anna Maria Storniolo,Anna Maria Storniolo,295,,Doctor
"Anna Meuronen, MD","Anna Meuronen, MD",296,,Doctor
Anna Reinert,Anna Reinert,297,,Doctor
Anna Rose Childress,Anna Rose Childress,298,,Doctor
Anne Chang,Anne Chang,299,,
"Annexon, Inc.","Annexon, Inc.",300,,
"Annias Immunotherapeutics, Inc.","Annias Immunotherapeutics, Inc.",301,,
Annick Desjardins,Annick Desjardins,302,,
Anthera Pharmaceuticals,Anthera Pharmaceuticals,303,,
Antibacterial Resistance Leadership Group (ARLG),Antibacterial Resistance Leadership Group (ARLG),304,,
AntibioTx A/S,AntibioTx A/S,305,,
"Anticancer Fund, Belgium","Anticancer Fund, Belgium",306,,
Antiva Biosciences,Antiva Biosciences,307,,
Antoinette Tan,Antoinette Tan,308,,
Antonios Likourezos,Antonios Likourezos,309,,
Anup Kasi,Anup Kasi,310,,
Anwaar Saeed,Anwaar Saeed,311,,
"Apellis Pharmaceuticals, Inc.","Apellis Pharmaceuticals, Inc.",312,,
"Apexian Pharmaceuticals, Inc.","Apexian Pharmaceuticals, Inc.",313,,
"Apexigen, Inc.","Apexigen, Inc.",314,,
Apices Soluciones S.L.,Apices Soluciones S.L.,315,,
ApoPharma,ApoPharma,316,,
Apogee Biotechnology Corporation,Apogee Biotechnology Corporation,317,,
Appili Therapeutics Inc.,Appili Therapeutics Inc.,318,,
"Applied Biologics, LLC","Applied Biologics, LLC",319,,
"Applied Biology, Inc.","Applied Biology, Inc.",320,,
Applied Genetic Technologies Corp,Applied Genetic Technologies Corp,321,,
Aprea Therapeutics AB,Aprea Therapeutics AB,322,,
Aptevo Therapeutics,Aptevo Therapeutics,323,,
Aptinyx,Aptinyx,324,,
Aquestive Therapeutics,Aquestive Therapeutics,325,,
Aquinox Pharmaceuticals (Canada) Inc.,Aquinox Pharmaceuticals (Canada) Inc.,326,,
ArQule,ArQule,327,,
"Aragon Pharmaceuticals, Inc.","Aragon Pharmaceuticals, Inc.",328,,
"Aravind Eye Hospitals, India","Aravind Eye Hospitals, India",329,,
Aravive Biologics,Aravive Biologics,330,,
"Arbelaez, Ana Maria","Arbelaez, Ana Maria",331,,
"Arbor Pharmaceuticals, Inc.","Arbor Pharmaceuticals, Inc.",332,,
Archigen Biotech Limited,Archigen Biotech Limited,333,,
"Archimedes Pharma US, Inc.","Archimedes Pharma US, Inc.",334,,
"Arcutis, Inc.","Arcutis, Inc.",335,,
"Ardea Biosciences, Inc.","Ardea Biosciences, Inc.",336,,
Ardelyx,Ardelyx,337,,
Areeg El-Gharbawy,Areeg El-Gharbawy,338,,
Arena Pharmaceuticals,Arena Pharmaceuticals,339,,
"AriBio Co., Ltd.","AriBio Co., Ltd.",340,,
Ariad Pharmaceuticals,Ariad Pharmaceuticals,341,,
"Aridis Pharmaceuticals, Inc.","Aridis Pharmaceuticals, Inc.",342,,
Ariel Gildengers,Ariel Gildengers,343,,
Arizona State University,Arizona State University,344,,University
"Arjun Balar, MD","Arjun Balar, MD",345,,Doctor
"Arkadiusz Z. Dudek, MD","Arkadiusz Z. Dudek, MD",346,,Doctor
Arkana Labs,Arkana Labs,347,,
Arkansas Heart Hospital,Arkansas Heart Hospital,348,,
"ArmaGen, Inc","ArmaGen, Inc",349,,
Armed Forces Institute of Regenerative Medicine,Armed Forces Institute of Regenerative Medicine,350,,
Arno Therapeutics,Arno Therapeutics,351,,
"Arog Pharmaceuticals, Inc.","Arog Pharmaceuticals, Inc.",352,,
"Aronora, Inc.","Aronora, Inc.",353,,
Array BioPharma,Array BioPharma,354,,
Arrien Pharmaceuticals,Arrien Pharmaceuticals,355,,
Arrowhead Pharmaceuticals,Arrowhead Pharmaceuticals,356,,
Arrowhead Regional Medical Center,Arrowhead Regional Medical Center,357,,
Arrys Therapeutics,Arrys Therapeutics,358,,
"Arsanis, Inc.","Arsanis, Inc.",359,,
Arta Monjazeb,Arta Monjazeb,360,,
"Arthrex, Inc.","Arthrex, Inc.",361,,
Arthritis Foundation,Arthritis Foundation,362,,
Arthritis Innovation Corporation,Arthritis Innovation Corporation,363,,
Arun Aneja,Arun Aneja,364,,
Asahi Kasei Pharma America Corporation,Asahi Kasei Pharma America Corporation,365,,
Asan Medical Center,Asan Medical Center,366,,
Asana BioSciences,Asana BioSciences,367,,
Ascend Biopharmaceuticals Ltd,Ascend Biopharmaceuticals Ltd,368,,
Ascendis Pharma A/S,Ascendis Pharma A/S,369,,
Ascension St John Providence,Ascension St John Providence,370,,
Ascentage Pharma Group Inc.,Ascentage Pharma Group Inc.,371,,
Asha Nayak,Asha Nayak,372,,
Ashok Tuteja,Ashok Tuteja,373,,
Ashutosh Kumar Tewari,Ashutosh Kumar Tewari,374,,
Asian Pacific Liver Center at St. Vincent Medical Center,Asian Pacific Liver Center at St. Vincent Medical Center,375,,
"Asieris Pharmaceutical Technologies Co., Ltd.","Asieris Pharmaceutical Technologies Co., Ltd.",376,,
Asker & Baerum Hospital,Asker & Baerum Hospital,377,,
Aslan Pharmaceuticals,Aslan Pharmaceuticals,378,,
"Asociación Civil Impacta Salud y Educación, Peru","Asociación Civil Impacta Salud y Educación, Peru",379,,
"Asociación Dominicana Pro Bienestar de la Familia, Inc.","Asociación Dominicana Pro Bienestar de la Familia, Inc.",380,,
Asociación para Evitar la Ceguera en México,Asociación para Evitar la Ceguera en México,381,,
Assaf-Harofeh Medical Center,Assaf-Harofeh Medical Center,382,,
Assembly Biosciences,Assembly Biosciences,383,,
Assisi Foundation,Assisi Foundation,384,,
Assiut University,Assiut University,385,,University
Assuntina G. Sacco,Assuntina G. Sacco,386,,
Astellas Institute for Regenerative Medicine,Astellas Institute for Regenerative Medicine,387,,
Astellas Pharma Europe B.V.,Astellas Pharma,388,Changed,
Astellas Pharma Europe Ltd.,Astellas Pharma,388,Changed,
"Astellas Pharma Global Development, Inc.",Astellas Pharma,388,Changed,
Astellas Pharma Inc,Astellas Pharma,388,Changed,
Astellas Pharma Singapore Pte. Ltd.,Astellas Pharma,388,Changed,
"Astellas Pharma US, Inc.",Astellas Pharma,388,Changed,
"Astellas Scientific & Medical Affairs, Inc.","Astellas Scientific & Medical Affairs, Inc.",389,,
Astex Pharmaceuticals,Astex Pharmaceuticals,390,,
AstraZeneca,AstraZeneca,391,,
Atacama Therapeutics,Atacama Therapeutics,392,,
Atara Biotherapeutics,Atara Biotherapeutics,393,,
"Athenex, Inc.","Athenex, Inc.",394,,
"Athersys, Inc","Athersys, Inc",395,,
Atlanta Center for Medical Research,Atlanta Center for Medical Research,396,,
Atlanta Clinical and Translational Science Institute,Atlanta Clinical and Translational Science Institute,397,,
Atlanta Diabetes Associates,Atlanta Diabetes Associates,398,,
Atlantic Health System,Atlantic Health System,399,,
Atlantic Methanol Production Company,Atlantic Methanol Production Company,400,,
Atlantic Research Group,Atlantic Research Group,401,,
Atopic Dermatitis Research Network,Atopic Dermatitis Research Network,402,,
"Atossa Genetics, Inc.","Atossa Genetics, Inc.",403,,
Atox Bio Ltd,Atox Bio Ltd,404,,
Atridia Pty Ltd.,Atridia Pty Ltd.,405,,
Attaya Suvannasankha,Attaya Suvannasankha,406,,
"Attenua, Inc.","Attenua, Inc.",407,,
Attikon Hospital,Attikon Hospital,408,,
"Attune Health Research, Inc.","Attune Health Research, Inc.",409,,
Auburn University,Auburn University,410,,University
"Aucta Pharmaceuticals, Inc","Aucta Pharmaceuticals, Inc",411,,
Audentes Therapeutics,Audentes Therapeutics,412,,
Augusta University,Augusta University,413,,University
Aultman Health Foundation,Aultman Health Foundation,414,,
AurKa Pharma Inc.,AurKa Pharma Inc.,415,,
Aura Biosciences,Aura Biosciences,416,,
Aurinia Pharmaceuticals Inc.,Aurinia Pharmaceuticals Inc.,417,,
Auritec Pharmaceuticals,Auritec Pharmaceuticals,418,,
Aurobindo Pharma Ltd,Aurobindo Pharma Ltd,419,,
Aurora Health Care,Aurora Health Care,420,,
"Ausio Pharmaceuticals, LLC","Ausio Pharmaceuticals, LLC",421,,
"Auspex Pharmaceuticals, Inc.","Auspex Pharmaceuticals, Inc.",422,,
Austin Health,Austin Health,423,,
Australasian Gastro-Intestinal Trials Group,Australasian Gastro-Intestinal Trials Group,424,,
Australia New Zealand Gynaecological Oncology Group,Australia New Zealand Gynaecological Oncology Group,425,,
Australia and New Zealand Melanoma Trials Group,Australia and New Zealand Melanoma Trials Group,426,,
Australian and New Zealand Urogenital and Prostate Cancer Trials Group,Australian and New Zealand Urogenital and Prostate Cancer Trials Group,427,,
Autoimmunity Centers of Excellence,Autoimmunity Centers of Excellence,428,,
"Autumn McRee, MD","Autumn McRee, MD",429,,Doctor
Avanir Pharmaceuticals,Avanir Pharmaceuticals,430,,
